KARİYER YOLU — F HAVUZU (1132 oyuncu) — tanınırlık sırasıyla (üst=en bilinen)
format: # | İsim | Milliyet | milliMaç | piyasaDeğeri(M€)

1 | Lionel Messi | Argentina | 198 cap | 180M
2 | Cristiano Ronaldo | Portugal | 226 cap | 120M
3 | Neymar | Brazil | 128 cap | 180M
4 | Luka Modrić | Croatia | 196 cap | 55M
5 | Robert Lewandowski | Poland | 165 cap | 90M
6 | Kylian Mbappé | France | 96 cap | 200M
7 | Eden Hazard | Belgium | 126 cap | 150M
8 | Sadio Mané | Senegal | 124 cap | 150M
9 | Kevin De Bruyne | Belgium | 117 cap | 150M
10 | Mohamed Salah | Egypt | 113 cap | 150M
11 | Harry Kane | England | 112 cap | 150M
12 | Alexis Sánchez | Chile | 168 cap | 70M
13 | Sergio Ramos | Spain | 180 cap | 50M
14 | Christian Eriksen | Denmark | 149 cap | 100M
15 | Luis Suárez | Uruguay | 143 cap | 90M
16 | Gianluigi Buffon | Italy | 176 cap | 35M
17 | Heung-min Son | Korea, South | 143 cap | 90M
18 | Ángel Di María | Argentina | 145 cap | 65M
19 | Romelu Lukaku | Belgium | 124 cap | 100M
20 | Diego Godín | Uruguay | 161 cap | 40M
21 | Andrés Guardado | Mexico | 182 cap | 12M
22 | Erling Haaland | Norway | 49 cap | 200M
23 | Arturo Vidal | Chile | 147 cap | 45M
24 | Ivan Perišić | Croatia | 152 cap | 45M
25 | Edinson Cavani | Uruguay | 136 cap | 60M
26 | Granit Xhaka | Switzerland | 144 cap | 50M
27 | Edin Dzeko | Bosnia-Herzegovina | 148 cap | 32M
28 | Toni Kroos | Germany | 114 cap | 80M
29 | Philippe Coutinho | Brazil | 68 cap | 150M
30 | Hugo Lloris | France | 145 cap | 30M
31 | Gareth Bale | Wales | 111 cap | 90M
32 | Axel Witsel | Belgium | 136 cap | 40M
33 | Ivan Rakitic | Croatia | 106 cap | 70M
34 | Marek Hamsik | Slovakia | 138 cap | 40M
35 | Javier Mascherano | Argentina | 147 cap | 30M
36 | David Silva | Spain | 125 cap | 50M
37 | Miralem Pjanić | Bosnia-Herzegovina | 115 cap | 70M
38 | Thierry Henry | France | 123 cap | 50M
39 | Jude Bellingham | England | 46 cap | 180M
40 | Pepe | Portugal | 141 cap | 30M
41 | Gary Medel | Chile | 161 cap | 13M
42 | Robbie Keane | Ireland | 146 cap | 21M
43 | Dani Alves | Brazil | 126 cap | 36M
44 | Thibaut Courtois | Belgium | 107 cap | 75M
45 | Zlatan Ibrahimović | Sweden | 122 cap | 46M
46 | Wesley Sneijder | Netherlands | 134 cap | 45M
47 | Olivier Giroud | France | 137 cap | 27M
48 | Sergio Agüero | Argentina | 101 cap | 80M
49 | David Alaba | Austria | 112 cap | 65M
50 | Miroslav Klose | Germany | 137 cap | 30M
51 | Nicolás Otamendi | Argentina | 130 cap | 35M
52 | Raúl Jiménez | Mexico | 125 cap | 50M
53 | Paul Pogba | France | 91 cap | 100M
54 | Riyad Mahrez | Algeria | 113 cap | 60M
55 | Ronaldinho | Brazil | 97 cap | 80M
56 | Roberto Carlos | Brazil | 127 cap | 30M
57 | Leonardo Bonucci | Italy | 121 cap | 45M
58 | Marquinhos | Brazil | 104 cap | 75M
59 | Toby Alderweireld | Belgium | 127 cap | 40M
60 | Kalidou Koulibaly | Senegal | 102 cap | 75M
61 | Cesc Fàbregas | Spain | 110 cap | 55M
62 | Lothar Matthäus | Germany | 150 cap | 0M
63 | Bruno Fernandes | Portugal | 87 cap | 90M
64 | Marko Arnautovic | Austria | 132 cap | 35M
65 | Karim Benzema | France | 97 cap | 60M
66 | Fernando Torres | Spain | 110 cap | 50M
